A coordinates,B coordinates,average coordinates
"(66, 32)","(65, 31)"
"(66, 163)","(65, 163)"
"(66, 296)","(65, 295)"
"(66, 427)","(65, 427)"
"(66, 692)","(65, 560)"
"(66, 825)","(65, 692)"
"(66, 956)","(65, 824)"
"(67, 560)","(65, 956)"
"(196, 560)","(71, 560)"
"(197, 32)","(197, 31)"
"(198, 164)","(197, 163)"
"(198, 296)","(197, 295)"
"(198, 428)","(197, 427)"
"(198, 693)","(197, 560)"
"(198, 824)","(197, 692)"
"(198, 957)","(197, 824)"
"(198, 1088)","(197, 956)"
"(330, 32)","(197, 1088)"
"(330, 164)","(329, 31)"
"(330, 296)","(329, 163)"
"(330, 428)","(329, 295)"
"(330, 440)","(329, 427)"
"(330, 454)","(329, 440)"
"(330, 467)","(329, 453)"
"(330, 471)","(329, 467)"
"(330, 506)","(329, 479)"
"(330, 520)","(329, 493)"
"(330, 549)","(329, 506)"
"(330, 692)","(329, 520)"
"(330, 825)","(329, 547)"
"(330, 956)","(329, 560)"
"(331, 481)","(329, 692)"
"(331, 494)","(329, 824)"
"(334, 533)","(329, 956)"
"(334, 560)","(329, 1088)"
"(338, 533)","(330, 532)"
"(343, 428)","(336, 533)"
"(343, 441)","(342, 440)"
"(343, 467)","(342, 466)"
"(343, 494)","(342, 480)"
"(343, 520)","(342, 493)"
"(343, 547)","(342, 519)"
"(344, 559)","(342, 533)"
"(353, 560)","(342, 546)"
"(355, 465)","(342, 560)"
"(356, 429)","(343, 427)"
"(356, 484)","(343, 454)"
"(356, 490)","(343, 507)"
"(356, 544)","(356, 427)"
"(356, 547)","(356, 440)"
"(357, 441)","(356, 453)"
"(357, 454)","(356, 466)"
"(357, 480)","(356, 467)"
"(357, 494)","(356, 480)"
"(357, 520)","(356, 487)"
"(357, 534)","(356, 493)"
"(358, 469)","(356, 507)"
"(369, 481)","(356, 520)"
"(370, 440)","(356, 533)"
"(370, 454)","(356, 546)"
"(370, 494)","(356, 559)"
"(370, 507)","(369, 440)"
"(370, 511)","(369, 454)"
"(370, 520)","(369, 467)"
"(370, 534)","(369, 480)"
"(370, 547)","(369, 493)"
"(371, 429)","(369, 507)"
"(371, 559)","(369, 519)"
"(383, 428)","(369, 533)"
"(383, 441)","(369, 546)"
"(383, 454)","(369, 560)"
"(383, 480)","(370, 427)"
"(383, 493)","(376, 428)"
"(383, 506)","(382, 427)"
"(383, 521)","(382, 453)"
"(383, 534)","(382, 479)"
"(396, 428)","(382, 493)"
"(396, 441)","(382, 506)"
"(396, 467)","(382, 520)"
"(396, 494)","(382, 533)"
"(396, 520)","(383, 440)"
"(396, 533)","(383, 467)"
"(396, 547)","(383, 547)"
"(396, 560)","(383, 560)"
"(397, 559)","(395, 440)"
"(400, 560)","(395, 466)"
"(407, 560)","(395, 493)"
"(409, 441)","(395, 519)"
"(409, 454)","(395, 533)"
"(409, 480)","(395, 546)"
"(409, 494)","(395, 559)"
"(409, 507)","(396, 427)"
"(410, 429)","(396, 454)"
"(410, 533)","(396, 480)"
"(418, 533)","(396, 507)"
"(421, 480)","(408, 427)"
"(422, 428)","(408, 453)"
"(422, 454)","(408, 479)"
"(422, 494)","(408, 506)"
"(422, 522)","(409, 440)"
"(422, 529)","(409, 467)"
"(423, 441)","(409, 493)"
"(423, 467)","(409, 520)"
"(423, 507)","(409, 533)"
"(423, 547)","(409, 547)"
"(424, 559)","(409, 559)"
"(433, 560)","(416, 534)"
"(436, 428)","(422, 427)"
"(436, 441)","(422, 440)"
"(436, 444)","(422, 453)"
"(436, 454)","(422, 466)"
"(436, 467)","(422, 480)"
"(436, 480)","(422, 493)"
"(436, 494)","(422, 507)"
"(436, 507)","(422, 520)"
"(436, 520)","(422, 533)"
"(436, 529)","(422, 546)"
"(436, 547)","(422, 560)"
"(437, 533)","(435, 427)"
"(447, 532)","(435, 440)"
"(448, 441)","(435, 453)"
"(448, 468)","(435, 467)"
"(448, 494)","(435, 480)"
"(448, 521)","(435, 493)"
"(448, 548)","(435, 506)"
"(450, 559)","(435, 520)"
"(453, 560)","(435, 533)"
"(462, 32)","(435, 547)"
"(463, 164)","(435, 559)"
"(463, 296)","(436, 448)"
"(463, 428)","(436, 525)"
"(463, 825)","(448, 440)"
"(463, 957)","(448, 453)"
"(463, 1088)","(448, 467)"
"(595, 32)","(448, 479)"
"(595, 164)","(448, 493)"
"(595, 296)","(448, 506)"
"(595, 428)","(448, 520)"
"(595, 560)","(448, 533)"
"(595, 693)","(448, 547)"
"(595, 957)","(448, 559)"
"(725, 560)","(462, 31)"
"(726, 32)","(462, 163)"
"(726, 296)","(462, 295)"
"(726, 825)","(462, 427)"
