84,863
84,873
85,851
85,863
86,840
86,851
87,829
87,840
88,817
88,829
89,806
89,817
90,794
90,806
90,874
91,783
91,794
92,772
92,783
93,761
93,772
100,874
100,875
104,635
104,648
105,623
105,635
106,612
106,623
107,600
107,612
107,761
107,762
108,589
108,600
109,578
109,589
110,566
110,578
111,555
111,566
111,875
111,876
112,543
112,555
113,535
113,543
114,648
114,649
118,762
118,763
122,535
122,536
122,876
122,877
123,422
124,407
125,395
125,407
126,384
126,395
126,649
126,650
127,372
127,384
128,361
128,372
129,350
129,361
129,423
130,338
130,350
130,763
130,764
131,327
131,338
131,423
132,327
133,309
133,315
133,317
133,536
133,537
134,877
134,878
137,650
137,651
140,423
140,424
141,764
141,765
143,197
144,179
144,190
144,192
144,537
144,538
145,167
145,179
145,878
145,879
146,156
146,167
147,144
147,156
148,133
148,144
148,310
148,311
149,122
149,133
149,651
149,652
150,110
150,122
151,99
151,110
152,99
152,424
152,425
153,84
153,765
153,766
155,197
155,198
156,538
156,539
157,879
157,880
159,311
159,312
160,652
160,653
163,84
163,85
163,425
163,426
164,766
164,767
167,198
167,199
167,539
167,540
168,880
168,881
171,312
171,313
171,653
171,654
174,85
174,86
175,426
175,427
175,767
175,768
178,199
178,200
179,540
179,541
179,881
179,882
182,313
182,314
183,654
183,655
185,86
185,87
186,427
186,428
187,768
187,769
187,985
187,996
188,973
188,985
189,200
189,201
189,962
189,973
190,541
190,542
190,951
190,962
191,883
191,939
191,951
192,928
192,939
193,314
193,315
193,916
193,928
194,655
194,656
194,905
194,916
195,894
195,905
195,996
195,997
196,883
196,894
197,87
197,88
197,428
197,429
197,870
198,769
198,770
198,859
198,870
199,847
199,859
200,836
200,847
201,201
201,202
201,825
201,836
202,542
202,543
202,813
202,825
202,884
203,802
203,813
204,790
204,802
204,884
205,315
205,316
205,779
205,790
206,656
206,657
206,770
206,779
206,997
206,998
207,757
208,88
208,89
208,745
208,757
209,429
209,430
209,734
209,745
210,722
210,734
211,711
211,722
212,202
212,203
212,700
212,711
212,771
213,543
213,544
213,688
213,700
214,677
214,688
214,884
214,885
215,665
215,677
216,316
216,317
216,657
216,665
217,642
218,631
218,642
218,998
218,999
219,619
219,631
220,89
220,90
220,430
220,431
220,608
220,619
221,597
221,608
221,771
221,772
222,585
222,597
223,574
223,585
224,203
224,204
224,562
224,574
225,562
225,885
225,886
226,545
226,551
226,553
227,529
227,540
228,317
228,318
228,517
228,529
228,658
228,659
229,506
229,517
229,999
229,1000
230,494
230,506
231,90
231,91
231,483
231,494
232,472
232,483
232,772
232,773
233,460
233,472
234,449
234,460
235,204
235,205
235,449
236,432
236,439
236,545
236,546
236,886
236,887
237,414
237,426
238,403
238,414
239,319
239,391
239,403
240,380
240,391
240,659
240,660
241,319
241,369
241,380
241,1000
241,1001
242,91
242,92
242,357
242,369
243,346
243,357
243,432
243,433
