A coordinates,B coordinates,average coordinates
"(113, 108)","(112, 107)"
"(113, 220)","(112, 220)"
"(113, 334)","(112, 333)"
"(113, 446)","(112, 446)"
"(113, 561)","(112, 560)"
"(113, 673)","(112, 673)"
"(113, 787)","(112, 786)"
"(113, 899)","(112, 899)"
"(226, 108)","(226, 107)"
"(227, 221)","(226, 220)"
"(227, 334)","(226, 333)"
"(227, 447)","(226, 446)"
"(227, 560)","(226, 559)"
"(227, 674)","(226, 673)"
"(227, 787)","(226, 786)"
"(227, 900)","(226, 899)"
"(227, 1012)","(226, 1012)"
"(339, 560)","(339, 107)"
"(340, 108)","(339, 220)"
"(340, 221)","(339, 333)"
"(340, 334)","(339, 446)"
"(340, 447)","(339, 457)"
"(340, 457)","(339, 468)"
"(340, 469)","(339, 480)"
"(340, 480)","(339, 491)"
"(340, 492)","(339, 503)"
"(340, 503)","(339, 514)"
"(340, 515)","(339, 526)"
"(340, 526)","(339, 536)"
"(340, 537)","(339, 549)"
"(340, 549)","(339, 559)"
"(340, 674)","(339, 673)"
"(340, 787)","(339, 786)"
"(340, 900)","(339, 899)"
"(350, 448)","(339, 1012)"
"(351, 458)","(350, 457)"
"(351, 480)","(350, 479)"
"(351, 503)","(350, 502)"
"(351, 515)","(350, 514)"
"(351, 526)","(350, 525)"
"(351, 537)","(350, 537)"
"(351, 549)","(350, 548)"
"(352, 559)","(350, 560)"
"(361, 559)","(351, 446)"
"(362, 447)","(351, 469)"
"(362, 458)","(351, 492)"
"(362, 469)","(361, 446)"
"(362, 492)","(361, 468)"
"(362, 515)","(361, 491)"
"(362, 537)","(361, 514)"
"(373, 447)","(361, 536)"
"(373, 458)","(362, 457)"
"(374, 469)","(362, 480)"
"(374, 480)","(362, 503)"
"(374, 492)","(362, 526)"
"(374, 503)","(362, 549)"
"(374, 526)","(362, 560)"
"(374, 537)","(373, 446)"
"(374, 549)","(373, 457)"
"(374, 560)","(373, 469)"
"(385, 447)","(373, 479)"
"(385, 458)","(373, 492)"
"(385, 469)","(373, 502)"
"(385, 480)","(373, 514)"
"(385, 492)","(373, 525)"
"(385, 503)","(373, 537)"
"(385, 514)","(373, 548)"
"(385, 526)","(373, 560)"
"(385, 537)","(384, 446)"
"(385, 549)","(384, 457)"
"(396, 447)","(384, 468)"
"(396, 458)","(384, 480)"
"(396, 480)","(384, 491)"
"(396, 503)","(384, 503)"
"(396, 515)","(384, 514)"
"(396, 526)","(384, 526)"
"(396, 549)","(384, 536)"
"(396, 560)","(384, 549)"
"(397, 559)","(384, 560)"
"(406, 559)","(395, 457)"
"(407, 458)","(395, 479)"
"(407, 469)","(395, 502)"
"(407, 492)","(395, 525)"
"(407, 515)","(395, 548)"
"(407, 537)","(395, 560)"
"(408, 448)","(396, 446)"
"(418, 447)","(396, 469)"
"(419, 458)","(396, 492)"
"(419, 469)","(396, 514)"
"(419, 480)","(396, 537)"
"(419, 492)","(406, 446)"
"(419, 503)","(406, 468)"
"(419, 515)","(406, 491)"
"(419, 526)","(406, 514)"
"(419, 537)","(406, 536)"
"(419, 549)","(407, 457)"
"(420, 559)","(407, 480)"
"(429, 559)","(407, 503)"
"(430, 447)","(407, 526)"
"(430, 458)","(407, 549)"
"(430, 469)","(407, 560)"
"(430, 481)","(418, 446)"
"(430, 492)","(418, 457)"
"(430, 515)","(418, 469)"
"(430, 537)","(418, 480)"
"(440, 458)","(418, 492)"
"(440, 481)","(418, 502)"
"(440, 504)","(418, 514)"
"(440, 527)","(418, 525)"
"(440, 550)","(418, 537)"
"(442, 559)","(418, 548)"
"(452, 108)","(418, 560)"
"(453, 221)","(429, 446)"
"(453, 334)","(429, 468)"
"(453, 447)","(429, 491)"
"(453, 560)","(429, 514)"
"(453, 674)","(429, 536)"
"(453, 787)","(430, 457)"
"(453, 900)","(430, 480)"
"(453, 1012)","(430, 503)"
"(566, 108)","(430, 526)"
"(566, 221)","(430, 549)"
"(566, 334)","(430, 560)"
"(566, 447)","(440, 457)"
"(566, 560)","(440, 468)"
"(566, 674)","(440, 480)"
"(566, 787)","(440, 491)"
"(566, 900)","(440, 503)"
"(679, 108)","(440, 514)"
"(679, 334)","(440, 526)"
"(679, 561)","(440, 536)"
"(679, 787)","(440, 549)"
